Layer,Name,GEOID,Population,INC_2019-2023,PCT-W_2019-2023,SNP_2019-2023
Census tract,Tract 713,17031071300,3893,127082.99999999999,71.80277349768875,0.8518693800283956
Census tract,Tract 714,17031071400,4962,123069.99999999999,81.47577092511014,5.7224606580829755
Census tract,Tract 715,17031071500,6282,123663,83.17710077000335,1.024159663865546
Census tract,Tract 716,17031071600,1793,242250,86.82469680264609,4.774897680763983
Census tract,Tract 717,17031071700,1660,149820.99999999997,82.16112532,3.3182503770739067
Census tract,Tract 718,17031071800,2652,232806.99999999997,75.69419401370358,3.669724770642202
Census tract,Tract 801,17031080100,6388,116982.99999999999,85.22892735803268,0.7881316643486325
Census tract,Tract 802.01,17031080201,3375,118416.99999999999,88.26112412177986,1.3124470787468248
Census tract,Tract 802.02,17031080202,4225,104128.99999999999,76.27816816,2.1846370683579983
Census tract,Tract 803,17031080300,5499,157881.99999999997,68.18406729,1.173563928350834
Census tract,Tract 804,17031080400,4569,,24.757768125626463,37.791465024197095
Census tract,Tract 810,17031081000,8746,81616,69.59251362236436,12.24376731301939
Census tract,Tract 811,17031081100,4187,79682.99999999999,77.02233250620347,3.3819864720541117
Census tract,Tract 812.01,17031081201,5080,134245.99999999997,81.39789658194566,0.2035278154681139
Census tract,Tract 812.02,17031081202,3357,158100,78.89960294951787,3.8204393505253105
Census tract,Tract 813,17031081300,5540,115259.99999999999,66.52219140083217,3.477809499091617
Census tract,Tract 814.01,17031081401,2508,82364.99999999999,60.72925398,2.549019607843137
Census tract,Tract 814.02,17031081402,7052,166824,57.168458781362006,0.9738452977184195
Census tract,Tract 814.03,17031081403,9843,117549.99999999999,51.00457106,4.307029687740347
Census tract,Tract 815,17031081500,5917,141780,53.05343511450382,0.6672468813460981
